VARIABLES = X, Y, Z, VX, VY, VZ, PRESS, OBST
ZONE I= 128, J= 128, K= 128 F=POINT
1 1 32 0.000000 0.000000 0.000000 0.033333 1
2 1 32 0.000000 0.000000 0.000000 0.033333 1
3 1 32 0.000000 0.000000 0.000000 0.033333 1
4 1 32 0.000000 0.000000 0.000000 0.033333 1
5 1 32 0.000000 0.000000 0.000000 0.033333 1
6 1 32 0.000000 0.000000 0.000000 0.033333 1
7 1 32 0.000000 0.000000 0.000000 0.033333 1
8 1 32 0.000000 0.000000 0.000000 0.033333 1
9 1 32 0.000000 0.000000 0.000000 0.033333 1
10 1 32 0.000000 0.000000 0.000000 0.033333 1
11 1 32 0.000000 0.000000 0.000000 0.033333 1
12 1 32 0.000000 0.000000 0.000000 0.033333 1
13 1 32 0.000000 0.000000 0.000000 0.033333 1
14 1 32 0.000000 0.000000 0.000000 0.033333 1
15 1 32 0.000000 0.000000 0.000000 0.033333 1
16 1 32 0.000000 0.000000 0.000000 0.033333 1
17 1 32 0.000000 0.000000 0.000000 0.033333 1
18 1 32 0.000000 0.000000 0.000000 0.033333 1
19 1 32 0.000000 0.000000 0.000000 0.033333 1
20 1 32 0.000000 0.000000 0.000000 0.033333 1
21 1 32 0.000000 0.000000 0.000000 0.033333 1
22 1 32 0.000000 0.000000 0.000000 0.033333 1
23 1 32 0.000000 0.000000 0.000000 0.033333 1
24 1 32 0.000000 0.000000 0.000000 0.033333 1
25 1 32 0.000000 0.000000 0.000000 0.033333 1
26 1 32 0.000000 0.000000 0.000000 0.033333 1
27 1 32 0.000000 0.000000 0.000000 0.033333 1
28 1 32 0.000000 0.000000 0.000000 0.033333 1
29 1 32 0.000000 0.000000 0.000000 0.033333 1
30 1 32 0.000000 0.000000 0.000000 0.033333 1
31 1 32 0.000000 0.000000 0.000000 0.033333 1
32 1 32 0.000000 0.000000 0.000000 0.033333 1
33 1 32 0.000000 0.000000 0.000000 0.033333 1
34 1 32 0.000000 0.000000 0.000000 0.033333 1
35 1 32 0.000000 0.000000 0.000000 0.033333 1
36 1 32 0.000000 0.000000 0.000000 0.033333 1
