BT,54.57
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.16
UA,254.44
BT,54.58
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.18
UA,254.46
BT,54.56
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.17
UA,254.57
BT,54.56
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.17
UA,254.48
BT,54.57
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.17
UA,254.44
BT,54.58
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.17
UA,254.47
BT,54.55
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.17
UA,254.46
BT,54.57
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.17
UA,254.49
BT,54.58
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.18
UA,254.41
BT,54.57
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.18
UA,254.46
