BT,20.41
CG,5.11
EP,3.65
FT,3.61
IS,0.34
MG,1.03
SP,13.83
UA,29.03
BT,20.54
CG,4.89
EP,2.57
FT,3.67
IS,0.32
MG,0.99
SP,13.77
UA,28.72
BT,20.54
CG,5.13
EP,2.58
FT,3.58
IS,0.32
MG,1.04
SP,14.14
UA,27.75
BT,20.47
CG,5.39
EP,2.58
FT,3.55
IS,0.32
MG,1.03
SP,13.78
UA,28.80
BT,20.63
CG,6.59
EP,2.57
FT,3.59
IS,0.32
MG,1.04
SP,13.89
UA,28.68
BT,20.71
CG,5.53
EP,2.59
FT,3.63
IS,0.32
MG,1.04
SP,13.37
UA,28.66
BT,20.37
CG,5.06
EP,2.57
FT,3.56
IS,0.32
MG,0.99
SP,13.76
UA,28.87
BT,20.35
CG,4.86
EP,2.58
FT,3.59
IS,0.32
MG,1.06
SP,13.57
UA,28.33
BT,20.34
CG,5.27
EP,2.58
FT,3.62
IS,0.33
MG,1.04
SP,14.10
UA,28.87
BT,20.72
CG,5.33
EP,4.45
FT,3.62
IS,0.32
MG,1.02
SP,13.51
UA,28.81
