BT,54.66
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.15
UA,251.97
BT,54.62
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.17
UA,252.05
BT,54.65
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.17
UA,252.01
BT,54.66
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.16
UA,252.02
BT,54.66
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.21
UA,251.96
BT,54.64
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.16
UA,252.03
BT,54.65
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.15
UA,251.95
BT,54.65
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.17
UA,251.97
BT,54.64
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.16
UA,251.95
BT,54.65
CG,0.87
EP,18.19
FT,1.60
IS,0.73
MG,0.24
SP,32.15
UA,252.01
