BT,20.31
CG,5.10
EP,2.60
FT,3.62
IS,0.35
MG,1.06
SP,13.89
UA,28.26
BT,20.49
CG,5.37
EP,2.59
FT,3.59
IS,0.32
MG,0.99
SP,13.87
UA,27.62
BT,20.58
CG,5.25
EP,2.59
FT,3.86
IS,0.35
MG,1.05
SP,14.15
UA,28.21
BT,20.69
CG,5.11
EP,2.57
FT,3.55
IS,0.32
MG,1.03
SP,13.74
UA,28.99
BT,20.14
CG,5.72
EP,2.58
FT,3.64
IS,0.32
MG,1.04
SP,13.92
UA,28.55
BT,20.37
CG,4.80
EP,2.57
FT,3.56
IS,0.32
MG,1.05
SP,14.09
UA,28.63
BT,20.42
CG,6.95
EP,2.58
FT,3.39
IS,0.32
MG,0.99
SP,13.93
UA,28.73
BT,20.45
CG,4.78
EP,2.58
FT,3.55
IS,0.32
MG,1.04
SP,14.04
UA,28.84
BT,20.28
CG,5.33
EP,2.60
FT,3.63
IS,0.33
MG,1.05
SP,13.79
UA,28.65
BT,20.50
CG,4.76
EP,2.57
FT,3.63
IS,0.32
MG,1.00
SP,14.10
UA,28.69
