BT,427.45
CG,0.89
EP,15.32
FT,11.96
IS,7.11
MG,0.20
SP,236.71
UA,176.33
BT,427.50
CG,0.89
EP,15.31
FT,11.98
IS,7.11
MG,0.20
SP,236.71
UA,176.33
BT,427.49
CG,0.89
EP,15.31
FT,11.98
IS,7.11
MG,0.20
SP,236.72
UA,176.33
BT,427.49
CG,0.89
EP,15.31
FT,11.96
IS,7.11
MG,0.20
SP,236.71
UA,176.33
BT,427.50
CG,0.89
EP,15.32
FT,11.96
IS,7.11
MG,0.20
SP,236.71
UA,176.33
BT,427.49
CG,0.89
EP,15.31
FT,11.96
IS,7.11
MG,0.20
SP,236.71
UA,176.32
BT,427.50
CG,0.89
EP,15.32
FT,11.98
IS,7.11
MG,0.20
SP,236.72
UA,176.33
BT,427.49
CG,0.89
EP,15.31
FT,11.96
IS,7.11
MG,0.20
SP,236.72
UA,176.33
BT,427.50
CG,0.89
EP,15.31
FT,11.96
IS,7.11
MG,0.20
SP,236.72
UA,176.33
BT,427.49
CG,0.89
EP,15.31
FT,11.96
IS,7.11
MG,0.20
SP,236.71
UA,176.33
