BT,106.44
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.28
UA,463.47
BT,106.45
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.26
UA,463.49
BT,106.46
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.26
UA,463.39
BT,106.44
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.23
UA,463.46
BT,106.45
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.26
UA,463.45
BT,106.44
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.24
UA,463.44
BT,106.43
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.25
UA,463.66
BT,106.45
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.27
UA,463.45
BT,106.44
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.26
UA,463.61
BT,106.44
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.27
UA,463.46
BT,106.19
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.22
UA,467.59
BT,106.20
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.28
UA,467.79
BT,106.20
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.25
UA,467.58
BT,106.22
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.24
UA,467.83
BT,106.04
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.24
UA,467.76
