bt,11:05:00.927-11:03:13.317,ncc,0
cg,11:05:04.601-11:05:00.967,ncc,0
ep,11:05:41.164-11:05:04.629,ncc,0
ft,11:05:44.417-11:05:41.208,ncc,0
is,11:05:48.983-11:05:44.444,ncc,0
mg,11:05:49.608-11:05:49.022,ncc,0
sp,11:06:53.777-11:05:49.631,ncc,0
ua,11:14:49.134-11:06:53.818,ncc,0
bt,11:16:37.017-11:14:49.379,ncc,1
cg,11:16:40.754-11:16:37.083,ncc,1
ep,11:17:17.325-11:16:40.800,ncc,1
ft,11:17:20.617-11:17:17.365,ncc,1
is,11:17:25.182-11:17:20.652,ncc,1
mg,11:17:25.810-11:17:25.219,ncc,1
sp,11:18:29.981-11:17:25.834,ncc,1
ua,11:26:25.458-11:18:30.011,ncc,1
bt,11:28:13.112-11:26:25.517,ncc,2
cg,11:28:16.854-11:28:13.151,ncc,2
ep,11:28:53.419-11:28:16.894,ncc,2
ft,11:28:56.715-11:28:53.442,ncc,2
is,11:29:01.290-11:28:56.739,ncc,2
mg,11:29:01.916-11:29:01.314,ncc,2
sp,11:30:06.293-11:29:02.188,ncc,2
ua,11:38:02.237-11:30:06.323,ncc,2
bt,11:39:49.919-11:38:02.261,ncc,3
cg,11:39:53.952-11:39:50.250,ncc,3
ep,11:40:30.515-11:39:53.976,ncc,3
ft,11:40:33.818-11:40:30.538,ncc,3
is,11:40:38.387-11:40:33.844,ncc,3
mg,11:40:39.007-11:40:38.411,ncc,3
sp,11:41:43.180-11:40:39.039,ncc,3
ua,11:49:38.995-11:41:43.220,ncc,3
bt,11:51:26.914-11:49:39.244,ncc,4
cg,11:51:30.613-11:51:27.000,ncc,4
ep,11:52:07.220-11:51:30.681,ncc,4
ft,11:52:13.118-11:52:09.930,ncc,4
is,11:52:17.886-11:52:13.434,ncc,4
mg,11:52:18.510-11:52:18.039,ncc,4
sp,11:53:22.774-11:52:18.666,ncc,4
ua,12:01:18.299-11:53:22.894,ncc,4
