BT,39.92
CG,9.69
EP,5.08
FT,6.78
IS,0.64
MG,2.01
SP,25.72
UA,50.22
BT,39.95
CG,9.59
EP,4.90
FT,6.88
IS,0.66
MG,2.00
SP,25.24
UA,50.72
BT,39.76
CG,9.73
EP,5.08
FT,7.02
IS,0.64
MG,2.01
SP,25.43
UA,50.96
BT,39.67
CG,11.46
EP,5.08
FT,6.84
IS,0.64
MG,2.02
SP,25.65
UA,50.42
BT,39.54
CG,9.63
EP,5.07
FT,7.08
IS,0.65
MG,1.95
SP,26.00
UA,50.11
BT,39.93
CG,9.29
EP,5.08
FT,7.07
IS,0.64
MG,1.95
SP,25.75
UA,50.29
BT,39.73
CG,9.06
EP,5.06
FT,6.82
IS,0.64
MG,2.00
SP,25.72
UA,50.80
BT,39.86
CG,11.78
EP,5.04
FT,6.94
IS,0.64
MG,1.95
SP,25.25
UA,50.29
BT,39.89
CG,9.36
EP,5.08
FT,6.70
IS,0.64
MG,1.95
SP,26.15
UA,49.72
BT,40.07
CG,9.20
EP,4.94
FT,6.67
IS,0.64
MG,2.01
SP,26.34
UA,50.49
