BT,106.46
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.24
UA,463.97
BT,106.45
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.24
UA,464.26
BT,106.37
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.22
UA,464.05
BT,106.45
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.24
UA,464.22
BT,106.50
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.25
UA,464.07
BT,106.41
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.29
UA,463.98
BT,106.45
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.24
UA,464.26
BT,106.47
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.24
UA,464.13
BT,106.45
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.19
UA,464.21
BT,106.46
CG,1.52
EP,36.37
FT,2.88
IS,1.45
MG,0.28
SP,63.30
UA,464.34
